Date,HomeTeam,AwayTeam,HomeGameScore,AwayGameScore,HomePointsScoredLast300Seconds,AwayPointsScoredLast300Seconds,HomePointsScoredLast120Seconds,AwayPointsScoredLast120Seconds,HomePointDifferential,HomeFGDifferential,HomeDRebDifferential,HomeORebDifferential,Home3FGDifferential,HomeBlocksDifferential,HomeStealsDifferential,HomeAssistsDifferential,HomeReboundsDifferential,HomeFreeThrowDifferential,HomeTurnoversDifferential,HomeFoulsDifferential,SecLeft,LambdaWID,PointsScoredRemaining_Home,PointsScoredRemaining_Away
2019-12-17,11,13,104,102,13,7,6,2,2,-0.006283429999999979,3,0,0.12413793000000001,0,4,-6,3,1,-2,3,36,5,1,0
2019-11-29,24,3,101,98,10,10,2,2,3,0.062330600000000014,4,-3,-0.02777776000000004,9,-1,-3,1,1,1,0,99,8,6,5
2020-03-02,21,24,99,123,7,18,0,7,-24,-0.09934644000000004,-14,4,-0.09907119999999997,-2,-1,-10,-10,2,-8,-12,194,11,6,9
2020-01-10,25,16,98,114,14,12,4,6,-16,-0.016354559999999962,-3,-1,0.0180921,-1,-2,-2,-4,-18,4,12,160,10,8,13
2020-01-24,26,23,95,98,10,9,3,4,-3,-0.030779639999999997,2,1,-0.078905,4,2,-7,3,13,2,-6,91,8,4,5
2020-01-12,7,12,108,102,3,15,3,5,6,0.030051979999999978,1,-1,0.19757575,-1,-1,3,0,6,-1,2,86,7,6,2
2019-11-09,3,10,89,115,12,17,4,7,-26,-0.09679539999999998,-11,1,-0.30852713,-2,2,3,-10,-11,-6,3,114,8,5,2
2019-12-17,12,23,115,96,10,14,5,8,19,0.09999999999999998,4,-10,0.13364053000000004,1,2,-8,-6,14,-3,-9,112,8,5,3
2020-02-22,4,2,86,109,10,14,0,6,-23,-0.0974026,-9,1,0.04170010000000002,-4,-5,-6,-8,1,-1,-6,184,11,0,6
2019-12-23,9,17,107,96,15,10,5,4,11,0.04171988999999998,9,5,0.06666666000000004,-1,2,11,14,-3,2,9,63,7,6,8
2020-08-17,1,22,96,91,13,6,4,5,5,-0.08613447000000007,-9,6,-0.026397530000000002,0,6,-2,-3,1,-10,-3,292,14,13,10
2019-11-06,8,19,120,97,19,8,9,4,23,0.07228070999999991,10,3,0.10093167000000003,-3,-2,14,13,1,2,-5,205,11,2,5
2020-01-16,16,1,127,119,11,16,2,8,8,0.06971217999999996,10,-3,0.21418442999999998,0,2,6,7,7,3,-1,79,7,1,4
2020-03-07,4,10,95,87,9,9,3,2,8,0.10396294,-6,-7,0.13333333000000003,-2,-4,0,-13,-1,-4,-13,212,12,10,12
2020-09-06,15,16,100,104,2,12,0,5,-4,-0.06513159999999996,-2,-2,0.04647436999999999,-3,-1,3,-4,4,0,-3,234,12,7,3
2020-03-05,25,22,108,125,2,13,2,7,-17,0.042062260000000073,2,-10,-0.08014910999999997,2,-1,-1,-8,1,4,4,0,1,0,0
2019-12-04,20,11,89,93,9,9,2,3,-4,0.01966979999999996,1,-2,0.04545452999999999,3,0,6,-1,-4,2,1,296,14,11,14
2020-02-06,24,26,125,117,15,11,4,7,8,0.08695650000000005,10,1,0.12934363,3,-7,3,11,-16,8,9,0,1,0,0
2020-03-05,25,22,106,116,11,6,0,4,-10,0.07018314999999997,4,-11,-0.004444449999999989,2,0,1,-7,6,3,0,170,10,2,9
2019-12-16,16,6,93,108,10,14,2,6,-15,-0.09099435,-10,4,-0.11052632000000001,-1,3,-3,-6,3,-5,-4,262,13,23,12
2020-01-16,19,23,90,111,7,15,2,6,-21,-0.09124825999999997,-7,-3,-0.06112854000000001,-1,1,-9,-10,6,0,1,239,12,8,10
2019-12-02,25,3,102,107,15,9,5,7,-5,0.020000000000000018,2,5,-0.13243243999999998,5,-3,2,7,-6,1,4,67,7,4,6
2019-12-11,25,20,94,93,15,7,5,4,1,0.00728435999999999,-2,-1,-0.07135876000000002,-5,0,-12,-3,-8,0,5,13,3,0,0
2020-01-20,17,7,98,104,10,11,5,2,-6,-0.051985349999999986,-9,-3,-0.027754429999999997,4,-2,-1,-12,2,-4,-8,111,8,2,3
2019-11-20,12,1,97,94,16,8,7,0,3,0.030721959999999993,4,-5,0.0963271,6,1,1,-1,2,5,-6,20,4,0,3
2020-01-20,15,25,105,105,18,14,8,5,0,0.09994366000000005,2,-12,0.16096096000000001,-1,-1,-2,-10,1,5,4,0,1,0,0
2019-12-18,29,3,96,84,7,9,3,3,12,0.009689000000000003,0,1,0.06666665999999999,3,0,-2,1,9,-2,-5,256,13,2,14
2020-01-27,15,21,106,88,12,14,6,7,18,0.14880956999999995,6,-9,0.19647058,3,-4,7,-3,3,4,2,236,12,7,4
2019-12-28,26,8,129,102,18,12,10,4,27,0.12239865999999994,14,-2,0.17457309999999998,2,-1,9,12,-16,1,6,187,11,7,7
2020-01-20,2,22,111,113,11,8,7,8,-2,0.04069148,3,1,0.05952379000000002,-3,-5,-8,4,11,10,-4,19,4,0,4
2019-10-25,25,24,106,122,11,22,5,8,-16,-0.13798048999999996,-4,8,0.04999999000000005,-3,-1,-8,4,5,3,2,154,10,6,0
2020-07-30,18,28,99,102,6,13,2,4,-3,-0.02345678000000001,0,4,0.12794611,-4,1,4,4,-8,1,3,139,9,5,4
2019-12-20,11,25,119,105,6,15,4,6,14,0.07270635000000003,4,-6,0.13911289999999998,1,1,9,-2,3,-1,0,0,1,0,0
2020-03-11,0,19,103,111,13,10,7,4,-8,-0.09753086,-5,6,-0.03030303000000001,-7,-6,-7,1,-7,5,2,204,11,15,7
2020-03-10,9,12,77,124,14,8,10,2,-47,-0.06385813000000001,-7,-6,-0.18,-2,-1,-6,-13,3,-4,-3,284,14,9,7
2020-09-18,13,7,120,103,9,11,0,6,17,0.07010713999999996,-2,1,0.11742423999999996,4,6,11,-1,11,-6,-1,154,10,14,3
2019-12-17,12,23,120,98,12,13,8,4,22,0.1036572,4,-10,0.15178570000000002,1,3,-7,-6,13,-4,-8,29,4,0,1
2020-02-28,15,6,120,113,9,12,5,4,7,0.037820540000000014,2,3,0.07755101999999997,-1,6,5,5,13,-2,-5,40,5,6,5
2019-12-16,20,3,98,100,14,6,5,4,-2,0.04080355999999996,9,0,0.16666666000000002,2,-11,-6,9,13,15,-5,287,14,11,6
2019-12-17,12,23,108,86,12,6,3,2,22,0.125,5,-10,0.16386552999999998,1,1,-5,-5,12,-3,-10,273,14,12,13
2020-01-17,14,5,113,101,10,7,6,2,12,0.06976742000000002,6,-6,0.07142857000000002,6,5,15,0,-5,-3,0,109,8,0,8
2020-02-10,13,23,121,96,18,10,1,2,25,0.10515872000000004,18,9,0.057575770000000026,2,1,3,27,-4,3,3,158,10,4,4
2020-01-29,11,3,92,98,11,16,3,8,-6,-0.07255640000000008,1,7,-0.03999999999999998,-1,-4,-2,8,-1,1,3,270,14,8,2
2019-12-05,27,10,107,115,6,2,4,2,-8,0.029044120000000007,0,-8,-0.09161793999999995,3,3,-2,-8,7,-6,-4,99,8,2,4
2020-02-05,8,23,114,106,13,6,4,2,8,-0.05526317999999997,-2,7,-0.03296703000000001,-3,4,3,5,-1,-9,-3,43,5,2,2
2019-12-29,7,25,109,104,11,17,2,5,5,-0.013480179999999953,0,3,-0.07142857000000002,0,1,-7,3,5,1,-4,179,10,11,11
2019-12-12,8,6,100,114,10,10,6,5,-14,-0.06097560000000002,-10,-6,-0.0046619999999999995,-3,2,-4,-16,0,-1,-4,190,11,11,8
2020-03-01,4,16,70,86,11,11,3,6,-16,-0.06594397999999996,-12,-3,-0.027777780000000002,2,1,1,-15,-8,-6,3,196,11,4,7
2019-12-26,6,26,102,92,2,7,0,5,10,-0.04803372,0,8,0.14074075000000003,-4,-2,6,8,-1,1,-5,64,7,0,6
2020-02-26,5,22,106,94,11,10,5,6,12,0.12114663000000003,16,1,0.11622806999999996,-5,-8,2,17,1,10,6,32,5,2,0
2019-10-23,23,25,114,88,18,9,7,2,26,0.10714287,1,-1,-0.011904769999999953,5,6,14,0,-3,-9,0,185,11,10,7
2020-09-08,16,15,82,87,13,12,6,0,-5,-0.10557489999999997,-10,7,-0.06912440000000003,-2,1,-1,-3,9,-9,-3,232,12,12,16
